"idno","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","hhmmb","gndr","agea","cntry","maritalb","chldhhe","domicil","eduyrs"
10249,20,5,10,7,7,7,4,"Mujeres",33,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",17
10271,10,5,240,4,4,3,5,"Varones",21,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
10283,13,5,9,6,6,6,3,"Varones",33,"Belgium","Casado/a",NA,"Pueblo rural",15
10288,90,5,20,7,6,9,4,"Varones",64,"Belgium","Casado/a",NA,"Gran ciudad",0
10295,45,5,240,7,7,4,4,"Mujeres",50,"Belgium","Casado/a",NA,"Pueblo rural",17
10297,90,5,8,6,7,2,3,"Varones",48,"Belgium","Casado/a",NA,"Pueblo rural",12
10302,120,5,210,5,6,6,2,"Mujeres",80,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",15
10334,30,5,30,6,9,5,3,"Mujeres",45,"Belgium","Casado/a",NA,"Pueblo rural",17
10393,60,5,240,4,7,5,2,"Mujeres",55,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",12
10394,0,5,180,5,5,4,5,"Mujeres",18,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",13
10398,15,5,300,6,7,5,4,"Mujeres",35,"Belgium","Soltero/a",NA,"Pueblo rural",17
10401,40,5,240,8,7,7,1,"Varones",64,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",23
10402,30,5,120,7,5,7,4,"Varones",22,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",17
10422,120,1,NA,2,4,3,2,"Varones",83,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",12
10439,60,5,240,5,6,2,5,"Mujeres",25,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",17
10442,120,5,150,6,7,6,2,"Varones",51,"Belgium","Separado/a",NA,"Ciudad pequena",16
10445,60,5,180,7,7,6,4,"Mujeres",44,"Belgium","Casado/a",NA,"Ciudad pequena",17
10460,120,5,8,7,8,8,5,"Mujeres",44,"Belgium","Soltero/a",NA,"Pueblo rural",17
10465,120,4,120,6,7,8,5,"Varones",56,"Belgium","Casado/a",NA,"Pueblo rural",15
10466,NA,5,120,6,3,5,2,"Mujeres",53,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",15
10470,120,5,180,7,5,4,3,"Mujeres",42,"Belgium","Soltero/a",NA,"Ciudad pequena",16
10478,75,5,90,2,6,2,1,"Varones",67,"Belgium","Casado/a","Con menores en el hogar","Granja o casa en el campo",11
10484,30,5,180,7,7,7,5,"Mujeres",25,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",17
10494,30,1,NA,2,3,4,2,"Mujeres",78,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",12
10516,30,5,120,3,3,2,5,"Varones",54,"Belgium","Casado/a",NA,"Pueblo rural",14
10526,25,5,60,0,8,8,3,"Varones",68,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",12
10557,1,5,6,6,5,2,4,"Varones",26,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",18
10558,30,1,NA,8,NA,8,1,"Mujeres",75,"Belgium","Viudo/a","Con menores en el hogar","Pueblo rural",12
10567,90,5,10,8,8,6,4,"Varones",37,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",17
10598,60,4,30,7,6,3,2,"Varones",59,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
10603,30,5,180,6,9,7,3,"Varones",32,"Belgium","Casado/a",NA,"Pueblo rural",12
10611,30,4,60,5,5,5,4,"Varones",50,"Belgium","Casado/a",NA,"Ciudad pequena",18
10621,60,4,45,5,6,7,2,"Varones",80,"Belgium","Casado/a","Sin menores en el hogar","Afueras de una gran ciudad",11
10629,10,4,60,8,10,3,2,"Varones",50,"Belgium","Separado/a","Sin menores en el hogar","Pueblo rural",16
10644,60,5,120,6,7,4,1,"Mujeres",39,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",19
10648,60,5,180,7,7,4,2,"Varones",43,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",21
10649,15,5,120,1,3,4,3,"Varones",32,"Belgium","Casado/a",NA,"Gran ciudad",16
10680,30,5,10,5,5,3,4,"Varones",40,"Belgium","Casado/a",NA,"Ciudad pequena",22
10684,30,5,60,8,8,3,4,"Varones",57,"Belgium","Casado/a",NA,"Pueblo rural",17
10691,75,2,NA,5,5,7,2,"Varones",76,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
10706,30,5,120,6,7,7,3,"Mujeres",29,"Belgium","Casado/a",NA,"Pueblo rural",16
10735,120,5,NA,6,6,8,3,"Mujeres",47,"Belgium","Divorciado/a",NA,"Pueblo rural",16
10766,NA,5,10,8,7,6,2,"Varones",27,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",20
10793,15,5,120,3,5,3,6,"Mujeres",46,"Belgium","Casado/a",NA,"Ciudad pequena",9
10795,60,5,NA,7,8,6,3,"Varones",38,"Belgium","Soltero/a",NA,"Ciudad pequena",20
10802,30,5,NA,6,8,5,2,"Mujeres",62,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",17
10827,30,5,60,7,7,5,4,"Varones",39,"Belgium","Soltero/a",NA,"Afueras de una gran ciudad",16
10831,30,5,300,8,7,8,1,"Mujeres",81,"Belgium","Viudo/a","Con menores en el hogar","Gran ciudad",17
10838,0,5,270,6,7,6,4,"Varones",22,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",16
10853,5,5,180,7,8,5,4,"Varones",17,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",12
10858,30,5,8,8,8,6,3,"Varones",31,"Belgium","Soltero/a",NA,"Pueblo rural",11
10875,90,5,75,7,7,5,2,"Varones",61,"Belgium","Divorciado/a","Con menores en el hogar","Ciudad pequena",19
10892,20,5,7,5,5,9,4,"Mujeres",33,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",12
10946,30,2,NA,5,5,4,2,"Mujeres",68,"Belgium","Divorciado/a","Sin menores en el hogar","Pueblo rural",12
10958,30,5,240,8,8,7,2,"Mujeres",32,"Belgium","Casado/a","Sin menores en el hogar","Afueras de una gran ciudad",17
10984,5,5,300,4,4,5,3,"Varones",55,"Belgium","Casado/a",NA,"Gran ciudad",12
11026,10,4,15,6,7,7,4,"Varones",53,"Belgium","Casado/a",NA,"Granja o casa en el campo",13
11038,15,5,10,4,5,4,2,"Mujeres",65,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",8
11039,30,5,10,9,9,8,1,"Varones",32,"Belgium","Divorciado/a","Sin menores en el hogar","Ciudad pequena",19
11040,60,5,7,8,7,6,4,"Varones",18,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
11045,30,5,210,7,8,7,4,"Mujeres",31,"Belgium","Soltero/a",NA,"Ciudad pequena",14
11049,NA,5,240,1,5,5,4,"Mujeres",22,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",15
11089,120,5,120,3,6,5,5,"Varones",20,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",12
11108,30,5,60,5,6,7,2,"Varones",60,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",15
11112,60,5,8,6,8,4,6,"Varones",47,"Belgium","Casado/a",NA,"Pueblo rural",16
11120,210,5,NA,7,6,5,2,"Mujeres",42,"Belgium","Divorciado/a",NA,"Gran ciudad",16
11128,120,3,NA,8,6,7,2,"Varones",68,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",8
11143,90,2,NA,5,6,8,3,"Mujeres",77,"Belgium","Casado/a",NA,"Pueblo rural",13
11154,60,5,300,7,6,4,2,"Varones",24,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",18
11156,10,5,60,5,8,2,3,"Varones",34,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",15
11174,60,5,120,1,5,0,1,"Varones",48,"Belgium","Soltero/a","Con menores en el hogar","Ciudad pequena",19
11175,10,5,8,4,5,5,3,"Varones",43,"Belgium","Soltero/a",NA,"Ciudad pequena",17
11177,15,5,300,6,7,4,4,"Mujeres",17,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",11
11195,30,5,60,3,3,3,2,"Varones",56,"Belgium","Soltero/a","Con menores en el hogar","Pueblo rural",15
11218,120,5,60,6,7,7,3,"Varones",30,"Belgium","Soltero/a",NA,"Afueras de una gran ciudad",18
11220,30,5,240,8,8,6,1,"Mujeres",57,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
11222,15,5,60,2,7,1,2,"Mujeres",23,"Belgium","Casado/a","Sin menores en el hogar","Gran ciudad",12
11225,60,5,180,4,8,4,2,"Mujeres",61,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
11227,180,5,60,8,9,6,2,"Mujeres",73,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",10
11259,20,5,30,7,7,2,2,"Mujeres",63,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",9
11261,30,3,NA,7,5,5,3,"Varones",25,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",9
11273,60,5,30,0,8,1,7,"Mujeres",22,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",18
11274,6,1,NA,5,5,5,1,"Mujeres",90,"Belgium","Viudo/a","Sin menores en el hogar","Pueblo rural",10
11284,30,5,180,8,4,8,2,"Varones",57,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",9
11300,240,5,240,8,8,2,2,"Varones",65,"Belgium","Casado/a","Con menores en el hogar","Gran ciudad",16
11323,90,3,NA,5,5,5,2,"Varones",71,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",12
11328,45,5,10,6,6,4,3,"Varones",61,"Belgium","Casado/a",NA,"Pueblo rural",15
11350,10,4,120,5,6,5,2,"Mujeres",58,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",12
11365,30,5,8,7,7,7,4,"Varones",23,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",17
11372,30,5,6,5,9,1,4,"Varones",19,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",12
11384,60,5,60,7,7,4,2,"Varones",69,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",12
11387,2,5,NA,5,8,2,2,"Varones",35,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
11395,120,5,240,5,8,8,2,"Mujeres",70,"Belgium","Casado/a","Con menores en el hogar","Gran ciudad",10
11431,30,5,120,4,4,4,3,"Varones",49,"Belgium","Divorciado/a",NA,"Ciudad pequena",14
11451,120,4,60,5,5,7,4,"Mujeres",47,"Belgium","Casado/a",NA,"Pueblo rural",12
11452,60,4,45,3,5,4,1,"Varones",67,"Belgium","Separado/a","Con menores en el hogar","Pueblo rural",11
11458,15,4,30,3,5,2,4,"Mujeres",50,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",16
11465,15,4,180,6,6,7,7,"Mujeres",39,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",9
11470,60,1,NA,9,5,10,4,"Varones",58,"Belgium","Casado/a",NA,"Gran ciudad",12
11526,60,5,60,3,4,5,3,"Varones",70,"Belgium","Divorciado/a","Con menores en el hogar","Ciudad pequena",20
11545,30,5,30,7,7,8,2,"Mujeres",30,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",17
11570,30,5,300,7,8,5,2,"Mujeres",60,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",15
11574,90,5,5,2,2,5,2,"Varones",62,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",14
11597,30,5,8,8,8,6,1,"Varones",52,"Belgium","Soltero/a","Con menores en el hogar","Pueblo rural",13
11598,20,5,180,3,5,4,4,"Mujeres",19,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
11602,30,5,120,6,6,5,1,"Mujeres",41,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
11605,30,4,45,7,8,7,2,"Mujeres",74,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",17
11630,60,5,150,6,7,5,3,"Varones",22,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",16
11672,150,5,180,5,7,7,2,"Varones",76,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",13
11688,0,5,6,5,6,4,2,"Mujeres",39,"Belgium","Soltero/a",NA,"Pueblo rural",13
11691,120,5,300,9,7,7,3,"Mujeres",31,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",20
11694,60,4,120,9,8,5,2,"Varones",63,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",11
11699,150,1,NA,7,9,3,2,"Mujeres",68,"Belgium","Casado/a","Sin menores en el hogar","Ciudad pequena",12
11707,30,5,8,3,7,4,2,"Varones",35,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
11715,60,5,8,7,7,6,4,"Mujeres",29,"Belgium","Soltero/a",NA,"Pueblo rural",18
11754,60,5,300,6,5,6,4,"Varones",16,"Belgium","Soltero/a","Sin menores en el hogar","Granja o casa en el campo",10
11783,0,5,240,9,6,6,1,"Varones",30,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",17
11787,15,1,NA,6,6,4,2,"Varones",70,"Belgium","Divorciado/a",NA,"Ciudad pequena",7
11805,60,5,0,6,7,3,4,"Varones",43,"Belgium","Casado/a",NA,"Gran ciudad",16
11808,120,5,120,7,7,7,2,"Varones",72,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
11817,0,5,300,2,5,3,2,"Varones",31,"Belgium","Soltero/a","Sin menores en el hogar","Granja o casa en el campo",17
11818,90,5,30,5,7,5,5,"Mujeres",30,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",19
11848,2,5,120,7,5,3,2,"Varones",69,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",15
11850,10,5,60,7,6,9,3,"Mujeres",57,"Belgium","Casado/a",NA,"Pueblo rural",12
11864,150,5,180,5,5,4,2,"Varones",67,"Belgium","Casado/a","Con menores en el hogar","Afueras de una gran ciudad",15
11885,0,5,8,8,8,1,2,"Varones",58,"Belgium","Divorciado/a","Sin menores en el hogar","Pueblo rural",NA
11899,15,5,180,5,4,6,3,"Mujeres",42,"Belgium","Casado/a",NA,"Gran ciudad",15
11939,120,5,300,8,8,6,3,"Mujeres",41,"Belgium","Soltero/a",NA,"Pueblo rural",18
11953,90,5,6,6,7,6,2,"Mujeres",33,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",18
11958,45,5,7,5,5,5,2,"Varones",58,"Belgium","Casado/a","Con menores en el hogar","Granja o casa en el campo",15
11987,15,5,8,8,5,2,2,"Varones",20,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",14
11993,10,5,10,2,3,5,1,"Mujeres",18,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",12
12019,0,5,120,8,5,2,4,"Mujeres",27,"Belgium","Soltero/a","Sin menores en el hogar","Granja o casa en el campo",18
12026,60,5,90,7,10,9,4,"Mujeres",44,"Belgium","Casado/a",NA,"Pueblo rural",12
12039,90,5,60,8,6,8,2,"Mujeres",67,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",14
12068,90,5,120,7,7,4,1,"Varones",44,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",15
12069,180,5,120,3,2,2,4,"Varones",51,"Belgium","Casado/a",NA,"Pueblo rural",13
12087,150,4,240,9,2,3,1,"Varones",60,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",12
12088,10,4,60,6,5,2,1,"Varones",66,"Belgium","Viudo/a","Con menores en el hogar","Granja o casa en el campo",8
12090,60,5,120,3,8,5,2,"Mujeres",70,"Belgium","Casado/a","Con menores en el hogar","Granja o casa en el campo",12
12091,30,5,30,7,8,0,7,"Varones",48,"Belgium","Casado/a",NA,"Gran ciudad",9
12092,60,5,120,7,7,6,2,"Mujeres",60,"Belgium","Casado/a","Sin menores en el hogar","Ciudad pequena",15
12096,60,5,NA,3,6,4,4,"Varones",49,"Belgium","Divorciado/a",NA,"Afueras de una gran ciudad",16
12116,30,5,120,6,6,3,3,"Mujeres",34,"Belgium","Soltero/a",NA,"Pueblo rural",17
12117,NA,4,270,3,4,3,3,"Varones",27,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",2
12125,30,5,240,6,4,3,1,"Varones",28,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
12140,90,5,60,5,5,2,1,"Varones",67,"Belgium","Viudo/a","Con menores en el hogar","Ciudad pequena",14
12173,150,4,45,7,7,7,2,"Mujeres",67,"Belgium","Casado/a","Con menores en el hogar","Afueras de una gran ciudad",17
12214,60,5,120,8,8,5,2,"Varones",66,"Belgium","Divorciado/a","Con menores en el hogar","Ciudad pequena",13
12221,60,5,300,4,5,6,5,"Varones",42,"Belgium","Casado/a",NA,"Granja o casa en el campo",18
12246,60,5,60,5,5,4,4,"Varones",41,"Belgium","Soltero/a",NA,"Ciudad pequena",8
12250,60,5,75,7,7,6,2,"Varones",72,"Belgium","Viudo/a","Sin menores en el hogar","Pueblo rural",13
12254,60,5,NA,3,4,7,1,"Varones",NA,"Belgium",NA,"Sin menores en el hogar","Gran ciudad",NA
12259,60,5,210,7,7,5,2,"Mujeres",59,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",16
12262,10,3,NA,5,8,5,1,"Mujeres",61,"Belgium","Divorciado/a","Sin menores en el hogar","Gran ciudad",16
12279,5,5,120,6,7,5,2,"Mujeres",29,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
12280,60,5,120,2,5,2,3,"Varones",60,"Belgium","Casado/a",NA,"Pueblo rural",18
12291,90,5,300,7,8,3,2,"Varones",22,"Belgium","Soltero/a",NA,"Pueblo rural",15
12301,60,5,210,6,7,7,5,"Mujeres",18,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",11
12336,30,5,8,5,5,2,1,"Varones",54,"Belgium","Divorciado/a","Con menores en el hogar","Gran ciudad",10
12341,150,5,6,7,7,6,2,"Varones",70,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",16
12356,30,5,120,5,6,5,5,"Varones",65,"Belgium","Casado/a",NA,"Pueblo rural",9
12362,60,5,180,3,6,4,2,"Varones",64,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
12364,60,5,270,3,4,3,2,"Varones",28,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
12375,0,5,6,4,4,4,3,"Mujeres",18,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
12380,30,5,300,8,8,6,4,"Mujeres",23,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",17
12412,30,5,90,6,7,7,3,"Mujeres",62,"Belgium","Divorciado/a",NA,"Afueras de una gran ciudad",8
12435,90,5,10,7,7,5,3,"Mujeres",36,"Belgium","Casado/a",NA,"Pueblo rural",14
12439,30,5,8,7,6,5,6,"Varones",19,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
12441,120,5,240,7,7,4,4,"Mujeres",35,"Belgium","Casado/a",NA,"Ciudad pequena",16
12453,120,5,8,4,7,7,4,"Varones",50,"Belgium","Casado/a",NA,"Pueblo rural",21
12459,60,5,10,7,6,5,2,"Mujeres",51,"Belgium","Divorciado/a","Con menores en el hogar","Ciudad pequena",12
12462,60,5,30,2,5,5,3,"Mujeres",56,"Belgium","Casado/a",NA,"Granja o casa en el campo",16
12473,60,5,30,8,6,5,3,"Mujeres",24,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
12476,60,5,180,7,6,7,2,"Varones",71,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",15
12485,45,5,240,5,4,3,8,"Varones",30,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",17
12508,20,5,270,5,6,3,4,"Varones",19,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",13
12518,45,5,30,2,7,2,2,"Mujeres",39,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",16
12536,40,5,300,8,8,6,4,"Varones",28,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",15
12542,30,5,180,1,1,2,3,"Varones",46,"Belgium","Casado/a",NA,"Pueblo rural",12
12546,30,5,10,5,8,6,4,"Varones",35,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",15
12556,180,4,300,8,7,7,2,"Mujeres",64,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",9
12565,60,5,180,5,5,3,1,"Mujeres",59,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",12
12570,75,5,120,7,7,7,2,"Varones",65,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
12577,15,5,30,8,8,6,3,"Varones",25,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",20
12588,60,5,120,5,5,2,3,"Mujeres",49,"Belgium","Casado/a",NA,"Pueblo rural",14
12589,120,5,10,4,6,6,6,"Varones",23,"Belgium","Soltero/a","Sin menores en el hogar","Afueras de una gran ciudad",16
12606,60,1,NA,9,7,3,1,"Mujeres",86,"Belgium","Viudo/a","Con menores en el hogar","Pueblo rural",8
12623,15,5,8,7,5,5,2,"Mujeres",55,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",16
12657,0,5,NA,6,8,6,2,"Mujeres",39,"Belgium","Casado/a","Sin menores en el hogar","Ciudad pequena",16
12673,60,5,15,6,9,4,2,"Varones",74,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",13
12676,30,5,60,5,7,3,3,"Varones",53,"Belgium","Casado/a",NA,"Pueblo rural",15
12693,45,5,150,8,7,9,2,"Mujeres",37,"Belgium","Soltero/a","Con menores en el hogar","Pueblo rural",17
12705,45,5,60,7,7,3,1,"Mujeres",72,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",19
12712,10,5,10,6,6,5,1,"Mujeres",27,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",18
12725,30,5,120,2,3,1,2,"Mujeres",62,"Belgium","Casado/a","Con menores en el hogar","Ciudad pequena",9
12757,60,5,6,2,0,3,7,"Varones",25,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",16
12768,90,5,6,7,9,6,2,"Mujeres",51,"Belgium","Casado/a","Con menores en el hogar","Afueras de una gran ciudad",19
12782,120,5,9,6,4,4,5,"Mujeres",36,"Belgium","Casado/a",NA,"Pueblo rural",16
12792,60,5,60,7,8,7,3,"Varones",72,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",12
12794,20,5,60,5,6,4,5,"Mujeres",17,"Belgium","Soltero/a",NA,"Pueblo rural",12
12799,60,1,NA,5,5,5,3,"Varones",49,"Belgium","Casado/a",NA,"Gran ciudad",6
12803,90,5,7,4,6,2,4,"Varones",18,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",12
12819,20,5,60,6,4,6,1,"Mujeres",37,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",15
12824,10,5,240,7,8,6,2,"Mujeres",18,"Belgium","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
12854,90,5,150,7,7,7,2,"Mujeres",58,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",15
12868,60,5,10,8,8,5,3,"Varones",41,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",20
12883,75,4,180,5,3,1,2,"Mujeres",63,"Belgium","Casado/a","Sin menores en el hogar","Ciudad pequena",16
12925,120,5,30,7,7,5,4,"Varones",42,"Belgium","Soltero/a",NA,"Pueblo rural",17
12969,180,5,180,6,8,2,1,"Varones",73,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",17
12971,60,5,240,2,7,1,7,"Mujeres",23,"Belgium","Soltero/a","Sin menores en el hogar","Gran ciudad",17
12987,30,3,NA,6,3,4,1,"Varones",63,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",11
12989,180,5,120,6,4,4,1,"Mujeres",68,"Belgium","Viudo/a","Con menores en el hogar","Afueras de una gran ciudad",14
13005,90,5,NA,6,7,7,1,"Mujeres",50,"Belgium","Soltero/a","Sin menores en el hogar","Pueblo rural",17
13020,30,5,120,5,7,5,2,"Mujeres",55,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",14
13030,60,5,60,7,7,5,3,"Mujeres",48,"Belgium","Casado/a",NA,"Afueras de una gran ciudad",12
13032,10,5,8,6,6,6,2,"Varones",54,"Belgium","Casado/a","Con menores en el hogar","Pueblo rural",17
13035,60,5,NA,8,7,7,4,"Varones",20,"Belgium",NA,"Sin menores en el hogar","Pueblo rural",14
13037,0,5,120,7,6,5,4,"Varones",40,"Belgium","Soltero/a",NA,"Pueblo rural",14
13047,10,5,60,5,4,5,3,"Mujeres",41,"Belgium","Casado/a",NA,"Pueblo rural",16
13079,150,5,10,8,7,6,5,"Varones",48,"Belgium","Divorciado/a",NA,"Pueblo rural",22
13104,40,3,NA,6,8,4,2,"Varones",60,"Belgium","Divorciado/a","Con menores en el hogar","Granja o casa en el campo",9
13108,30,5,60,8,6,8,2,"Mujeres",67,"Belgium","Casado/a","Sin menores en el hogar","Pueblo rural",14
13127,10,2,NA,3,7,7,1,"Mujeres",57,"Belgium","Divorciado/a","Con menores en el hogar","Pueblo rural",12
